2018 Rank,City,State,2018 Estimate,2010 Census,Change %,2016 land area(sq mi),2016 land area (km sq),2016 population density (/sq mi),2016 population density (/km sq),Location,Summary,Latitude,Longitude
166,Springfield,Massachusetts,155032,153060,+1.29,31.9  ,82.6 ,"4,830 ","1,860", ﻿42.1155°N 72.5400°W,Summary not be fetched due to disambiguation, ﻿42.1155,72.5400
167,Hollywood,Florida,154823,140768,+9.98,27.3  ,70.7 ,"5,568 ","2,150", ﻿26.0310°N 80.1646°W,"Hollywood is a neighborhood in the central region of Los Angeles, California, notable as the home of the U.S. film industry, including several of its historic studios. Its name has come to be a shorthand reference for the industry and the people associated with it.
Hollywood was incorporated as a municipality in 1903. It was consolidated with the city of Los Angeles in 1910 and soon thereafter, a prominent film industry emerged, eventually becoming the most recognizable film industry in the world.

", ﻿26.0310,80.1646
168,Pasadena,Texas,153219,149043,+2.80,43.5  ,112.7 ,"3,525 ","1,361", ﻿29.6586°N 95.1506°W,"Pasadena  is a city in Los Angeles County, California, United States, located 10 miles (16 kilometers) northeast of Downtown Los Angeles.
The estimated population of Pasadena was 142,647 in 2017, making it the 183rd-largest city in the United States. Pasadena is the ninth-largest city in Los Angeles County. Pasadena was incorporated on June 19, 1886, becoming one of the first cities to be incorporated in what is now Los Angeles County, following the city of Los Angeles (April 4, 1850).  It is one of the primary cultural centers of the San Gabriel Valley.The city is known for hosting the annual Rose Bowl football game and Tournament of Roses Parade. In addition, Pasadena is also home to many scientific and cultural institutions, including Caltech, Pasadena City College, Fuller Theological Seminary, ArtCenter College of Design, the Pasadena Playhouse, the Ambassador Auditorium, the Norton Simon Museum, and the USC Pacific Asia Museum.", ﻿29.6586,95.1506
169,Sunnyvale,California,153185,140081,+9.35,22.0  ,57.0 ,"6,944 ","2,681", ﻿37.3858°N 122.0263°W,"Sunnyvale () is a city located in Santa Clara County, California. As of the 2010 United States Census, the population was 140,095.
Sunnyvale is the seventh most populous city in the San Francisco Bay Area and one of the major cities comprising Silicon Valley. It is bordered by portions of San Jose to the north, Moffett Federal Airfield to the northwest, Mountain View to the northwest, Los Altos to the southwest, Cupertino to the south, and Santa Clara to the east. It lies along the historic El Camino Real and Highway 101.
As part of California's high-tech area known as Silicon Valley, Sunnyvale is the headquarters location of many technology companies and is a major operating center for many more. It is also home to several aerospace/defense companies. Sunnyvale was also the home to Onizuka Air Force Station, often referred to as ""the Blue Cube"" due to the color and shape of its windowless main building. The facility, previously known as Sunnyvale Air Force Station, was named for the deceased Space Shuttle Challenger astronaut Ellison Onizuka.  It served as an artificial satellite control facility of the U.S. military until August 2010 and has since been decommissioned and demolished.
Sunnyvale is one of the few U.S. cities to have a single unified Department of Public Safety, where all personnel are trained as firefighters, police officers, and EMTs, so they can respond to an emergency in any of the three roles.
Library services for the city are provided by the Sunnyvale Public Library, located at the Sunnyvale Civic Center.", ﻿37.3858,122.0263
170,Macon,Georgia,153095,91351,+67.59,249.3  ,645.7 ,612 ,236, ﻿32.8088°N 83.6942°W,"Mâcon (French pronunciation: ​[mɑ.kɔ̃]), historically anglicised as Mascon, is a city in east-central France. It is the prefecture of the department of Saône-et-Loire in Bourgogne-Franche-Comté. Mâcon is home to over 34,000 residents, who are referred to in French as Mâconnais. The city gave its name to the nearby vineyards and wine 'appellation'.", ﻿32.8088,83.6942
171,Kansas City,Kansas,152958,145786,+4.92,124.8  ,323.2 ,"1,216 ",470, ﻿39.1225°N 94.7418°W,"The Kansas City metropolitan area is a 14 county metropolitan area anchored by Kansas City, Missouri, and straddling the border between the U.S. states of Missouri and Kansas. With a population of 2,104,509, it ranks as the second largest metropolitan area centered in Missouri (after Greater St. Louis). Alongside Kansas City, the area includes a number of other cities and suburbs, the largest being Overland Park, Kansas; Kansas City, Kansas; Olathe, Kansas; and Independence, Missouri; each over 100,000 in population. The Mid-America Regional Council (MARC) serves as the Council of Governments and the Metropolitan Planning Organization for the area.", ﻿39.1225,94.7418
172,Pomona,California,152361,149058,+2.22,23.0  ,59.6 ,"6,630 ","2,560", ﻿34.0585°N 117.7611°W,"Pomona () is a city in Los Angeles County, California, United States. Pomona is located in the Pomona Valley, between the Inland Empire and the San Gabriel Valley. As of the 2010 United States Census, the city's population was 149,058.", ﻿34.0585,117.7611
173,Escondido,California,152213,143911,+5.77,37.1  ,96.1 ,"4,087 ","1,578", ﻿33.1331°N 117.0740°W,"Escondido ( ES-kən-DEE-doh) is a city located in San Diego County's North County region, 30 miles (48 km) northeast of downtown San Diego. The city occupies a shallow valley ringed by rocky hills.  Incorporated in 1888, it is one of the oldest cities in San Diego County. The city had a population of 143,911 in the 2010 census.", ﻿33.1331,117.0740
174,Killeen,Texas,149103,127921,+16.56,53.5  ,138.6 ,"2,680 ","1,030", ﻿31.0777°N 97.7320°W,"Killeen is a city in Bell County, Texas, United States. According to the 2010 census, its population was 127,921, making it the 21st-most populous city in Texas. It is the principal city of the Killeen–Temple–Fort Hood Metropolitan Statistical Area.
Killeen is directly adjacent to the main cantonment of Fort Hood. Its economy depends on the activities of the post, and the soldiers and their families stationed there. It is known as a military ""boom town"" because of its rapid growth and high influx of soldiers.", ﻿31.0777,97.7320
175,Naperville,Illinois,148304,141853,+4.55,38.7  ,100.2 ,"3,802 ","1,468", ﻿41.7492°N 88.1620°W,"Naperville () is a city in DuPage and Will counties in the U.S. state of Illinois. Located 28 miles (45 km) west of Chicago, Naperville was founded in 1831 and developed into the fifth-largest city in Illinois. As of the 2010 census, the city had a population of 141,853, which was estimated to have increased to 147,682  by 2017.In a 2010 study assessing cities with populations exceeding 75,000, Naperville was ranked as the wealthiest city in the Midwest and the eleventh wealthiest in the nation. It was ranked among the nation's safest cities by USA Today and Business Insider. Naperville was voted the second-best place to live in the United States by Money magazine in 2006 and it was rated first on the list of best cities for early retirement in 2013 by Kiplinger. In 2015, it was named as one of the most educated large cities in America with populations over 50,000.", ﻿41.7492,88.1620
176,Joliet,Illinois,148099,147433,+0.45,64.4  ,166.8 ,"2,302 ",889, ﻿41.5177°N 88.1488°W,"Joliet () is a city in Will and Kendall counties in the U.S. state of Illinois, 30 miles (48 km) southwest of Chicago. It is the county seat of Will County and a major part of the southwest Chicago metropolitan area. At the 2010 census, the city was the fourth largest in Illinois, with a population of 147,433. A population estimate in 2018 put Joliet's population at 150,495, which would make it the 3rd largest city in Illinois if accurate.", ﻿41.5177,88.1488
177,Bellevue,Washington,147599,122363,+20.62,33.5  ,86.8 ,"4,221 ","1,630", ﻿47.5979°N 122.1565°W,Summary not be fetched due to disambiguation, ﻿47.5979,122.1565
178,Rockford,Illinois,146526,152871,−4.15,63.5  ,164.5 ,"2,325 ",898, ﻿42.2588°N 89.0646°W,Summary not be fetched due to disambiguation, ﻿42.2588,89.0646
179,Savannah,Georgia,145862,136286,+7.03,103.6  ,268.3 ,"1,417 ",547, ﻿32.0025°N 81.1536°W,"A savanna or savannah is a mixed woodland grassland ecosystem characterised by the trees being sufficiently widely spaced so that the canopy does not close. The open canopy allows sufficient light to reach the ground to support an unbroken herbaceous layer consisting primarily of grasses.Savannas maintain an open canopy despite a high tree density. It is often believed that savannas feature widely spaced, scattered trees. However, in many savannas, tree densities are higher and trees are more regularly spaced than in forests. The South American savanna types cerrado sensu stricto and cerrado dense typically have densities of trees similar to or higher than that found in South American tropical forests, with savanna ranging from 800–3300 trees per hectare (trees/ha) and adjacent forests with 800–2000 trees/ha. Similarly Guinean savanna has 129 trees/ha, compared to 103 for riparian forest, while Eastern Australian sclerophyll forests have average tree densities of approximately 100 per hectare, comparable to savannas in the same region.Savannas are also characterised by seasonal water availability, with the majority of rainfall confined to one season; they are associated with several types of biomes, and are frequently in a transitional zone between forest and desert or grassland. Savanna covers approximately 20% of the Earth's land area.", ﻿32.0025,81.1536
